Bulunduğu semt,Toplama alanının ismi,Telefon numarası,Konum Bilgisi,Müsaitlik Durumu,Müsaitlik Durumu Güncelleme Tarihi,Gereken Yardım Türü
Başakşehir,Başakşehir Kültür Merkezi,2124862973,https://goo.gl/maps/xQYdCorHQXa77JNJ8,,,
Başakşehir,Rasim Özdenören Kütüphanesi,2124862971,https://goo.gl/maps/sBsuqBktWpExHSG26,,,
Başakşehir,Sabahattin Ali Kütüphanesi,0212 249 09 45,https://goo.gl/maps/r81TDph9iQWFo5RJ6,,,
Başakşehir,Başakşehir Sular Vadisi ÇEM,ALO 153,https://goo.gl/maps/EujwzYbJSWgm9ScP8,,,
Başakşehir,Başakşehir İSADEM,0212 449 75 45,https://goo.gl/maps/cSGv5kxTdkE3WNEGA,,,
Başakşehir,Başakşehir Sosyal Hizmet Merkezi,2126871042,https://g.page/ISADEM?share,,,
Başakşehir,Başakşehir Sular Vadisi Çem,153 aranarak ulaşılır,https://goo.gl/maps/is6gn2E7zJiBYQyH9,DOLU,,
Bayrampaşa,İsmetpaşa Mahalle Evi,-,https://goo.gl/maps/gsos9jXUYsKSLTZf8,,,
Bayrampaşa,Bayrampaşa semih erden spor kompleksi,,,,,
Bayrampaşa,Suat Derviş Kütüphanesi,0212 249 95 65,https://goo.gl/maps/9s6XNgRq96BXvSnN6,,,
Bayrampaşa,Samiha Ayverdi Kütüphanesi,0212 249 09 45,https://goo.gl/maps/d2eDcDdMTdjYv3TGA,,,
Bayrampaşa,Bayrampaşa İSADEM,,https://goo.gl/maps/v8FcESUocNzN5nwJ6,,,
Bayrampaşa,İsmetpaşa Mahalle Evi,,https://goo.gl/maps/GX8q1E5iDjxe7QjQ9,,,
Bayrampaşa,Halk Süt Deposu,,https://goo.gl/maps/CdpYUKLwY6Ry76Na9,,,
Beşiktaş,Zübeyde Ana Kültür ve Sanat Merkezi,0212 325 73 71,https://goo.gl/maps/HTDvtRzvBz7FvSwN7,BİTTİ,,
Beşiktaş,Süleyman Seba Kültür ve Sanat Merkezi,(0212) 215 60 29,https://goo.gl/maps/xqfqRqWN5gZLJdKWA,DOLU(13-15 ARASI İHTİYAÇ OLUYOR),,
Beşiktaş,Beşiktaş Vodafone Park Stadyumu,(0212) 948 19 03,https://goo.gl/maps/14RVFEunhdiK57kw7,DOLU,,
Beşiktaş,Mustafa Kemal Kültür Merkezi,0212 351 24 56,https://www.google.com/maps/pla,ACİL İNSAN GÜCÜ LAZIM PAKETLEME,,
Beşiktaş,Etiler Anadolu Lisesi,2123514100,https://goo.gl/maps/Ty8oEmnTapB2DBN98,,,
Beykoz,Anadolu Hisarı Ortaokulu,(0216) 332 02 59,https://goo.gl/maps/J2ZUoLET1kkNSBAR7,DOLU,,
Beykoz,Beykoz Çubuklu Atatürk Ortaokulu,(0216) 322 54 14,https://goo.gl/maps/fPpmZu8iwoAkf2ir7,,,
Beykoz,Kavacık Celal Aras Anadolu Lisesi,,https://goo.gl/maps/3M9vTEkDQXWE9Mid6,YARDIMA İHTİYAÇ BULUNMAKTADIR,,
Beykoz,Medipol Üniversitesi Güney Kampüsü,4448544,https://goo.gl/maps/tyn5KMSb755bdruV6,,,
Beykoz,Feza Gürsey Kütüphanesi,0212 249 09 45,https://goo.gl/maps/PnKZBrARfeQsP4TX6,,,
Beylikdüzü,İBB Beylikdüzü Kavaklı Çocuk Eğitim Merkezi,153 aranarak ulaşılır,https://goo.gl/maps/Fms1BSkvAyTyj3b2A,,,
Beylikdüzü,Beylikdüzü Pazar alanı (pazar istanbul),,https://maps.app.goo.gl/FqTkz87M,9 ŞUBAT 00.20 İTİBARİYLE KAPANDI,,https://chat.whatsapp.com/JZtiaV4IsFhFsWYQ37L802 (Beylikdüzü Deprem Gönüllüleri WP Grubu)
Beylikdüzü,Vali Muammer Güler Sosyal Bilimler Lisesi,(0212) 872 44 84,https://www.google.com/maps?q=Vali+Muammer+G%C3%BCler+,,,
Beylikdüzü,Beylikdüzü Kavaklı ÇEM,ALO 153,https://goo.gl/maps/TYoWC8emxdsxvu7X7,,,
Beylikdüzü,Su Ürünleri Hali,2128676400,https://goo.gl/maps/6ENfuREJWS6bgJYAA,,,
Beyoğlu,Hasköy Kültür ve Sanat Evi,0 (534) 768 17 77,https://goo.gl/maps/FbtgX6tzRAY7KCxd6,,,
Beyoğlu,Örnektepe Mahalle Evi,0212 449 74 38,https://goo.gl/maps/Ey4y9oTZMPWZn4W8A,,,
Beyoğlu,Örnektepe Mahalle Evi,,,,,
Beyoğlu,Beyoğlu Kasımpaşa Sosyal Hizmet Merkezi,2122973926,https://goo.gl/maps/Vq3upLfoJZYWns9t9,,,
Büyükçekmece,Büyükçekmece Atatürk Kültür Merkezi,(0212) 883 00 41,https://goo.gl/maps/DP5FFMQ7bwh7G3GT8,,,
Büyükçekmece,Büyükçekmece Tepecik Çem,153 aranarak ulaşılır,https://goo.gl/maps/Pyi21k1Ag4Abr9UW6,,,
